entry_time,entry_price,exit_time,exit_price,exit_type,strategy,signal,pnl_pct
2023-01-14 18:30:00,20754.5,2023-01-14 23:00:00,21065.817499999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999876
2023-01-14 23:15:00,21066.0,2023-01-15 00:30:00,20855.34,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999993
2023-01-15 00:45:00,20765.0,2023-01-15 03:15:00,20557.35,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000069
2023-01-15 14:45:00,20801.5,2023-01-16 01:00:00,21217.53,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999944
2023-01-16 02:15:00,21355.0,2023-01-16 03:00:00,21141.45,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999966
2023-01-16 08:15:00,20809.5,2023-01-16 15:00:00,20643.024,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999939
2023-01-16 15:15:00,20893.0,2023-01-16 18:45:00,21206.394999999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999847
2023-01-17 00:00:00,21269.5,2023-01-17 01:00:00,21056.805,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999987
2023-01-17 12:00:00,21258.5,2023-01-17 14:30:00,21045.915,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999959
2023-01-18 00:15:00,21146.0,2023-01-18 03:00:00,21357.46,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999959
2023-01-18 13:00:00,21278.5,2023-01-18 15:45:00,21065.715,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999993
2023-01-22 21:15:00,22449.5,2023-01-22 22:45:00,22673.995,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999956
2023-01-23 10:00:00,22858.0,2023-01-23 14:45:00,22629.42,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000075
2023-01-23 15:00:00,22777.5,2023-01-23 18:00:00,23119.1625,TP,momentum,BB 찢고 큰 양봉,1.4999999999999936
2023-01-24 01:45:00,23092.5,2023-01-24 09:00:00,22861.575,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999969
2023-01-24 09:15:00,22913.0,2023-01-24 14:30:00,22729.696,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000004
2023-01-24 18:00:00,22999.5,2023-01-24 22:15:00,22769.505,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999956
2023-01-26 06:30:00,23047.0,2023-01-26 10:45:00,22862.624,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000009
2023-01-27 02:00:00,22734.0,2023-01-27 05:45:00,22961.34,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000007
2023-01-27 15:00:00,23096.0,2023-01-28 15:00:00,23038.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,-0.2511257360581919
2023-01-30 09:45:00,23193.0,2023-01-30 12:00:00,23007.456,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000073
2023-01-30 19:45:00,22787.5,2023-01-30 20:15:00,22605.2,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999967
2023-01-31 06:00:00,22759.0,2023-01-31 08:00:00,22986.59,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000007
2023-02-01 08:30:00,22992.0,2023-02-01 19:00:00,23221.920000000002,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000082
2023-02-02 22:00:00,23514.0,2023-02-03 08:00:00,23325.888,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000042
2023-02-03 08:30:00,23398.5,2023-02-03 15:15:00,23632.485,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000024
2023-02-04 12:45:00,23420.5,2023-02-05 12:45:00,23186.295,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000075
2023-02-05 13:15:00,23152.5,2023-02-05 17:15:00,22967.28,SL,conservative,BB 하단 + RSI 과매도,-0.800000000000005
2023-02-05 18:00:00,22906.5,2023-02-06 05:15:00,22723.248,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000017
2023-02-06 05:30:00,22730.5,2023-02-06 15:45:00,22957.805,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000013
2023-02-06 23:30:00,22758.0,2023-02-07 09:45:00,22985.58,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000075
2023-02-07 17:30:00,22997.5,2023-02-07 17:45:00,23342.462499999998,TP,momentum,BB 찢고 큰 양봉,1.4999999999999907
2023-02-07 18:30:00,22889.5,2023-02-07 20:30:00,23232.8425,TP,momentum,BB 찢고 큰 양봉,1.499999999999995
2023-02-08 01:00:00,23378.5,2023-02-08 10:30:00,23144.715,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999993
2023-02-09 03:30:00,22544.0,2023-02-09 04:00:00,22363.648,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999954
2023-02-09 08:15:00,22736.5,2023-02-09 16:15:00,22509.135,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000069
2023-02-09 19:45:00,22034.5,2023-02-09 20:15:00,21858.224,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000075
2023-02-10 21:45:00,21524.5,2023-02-11 12:00:00,21739.745,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999953
2023-02-11 13:15:00,21727.3,2023-02-12 13:15:00,21785.1,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.2660247706802008
2023-02-12 14:30:00,21936.0,2023-02-12 21:45:00,21716.64,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000027
2023-02-12 22:15:00,21786.9,2023-02-13 09:15:00,21612.6048,SL,conservative,BB 하단 + RSI 과매도,-0.800000000000002
2023-02-13 09:30:00,21595.1,2023-02-13 10:15:00,21422.3392,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000002
2023-02-16 23:00:00,24079.9,2023-02-16 23:15:00,23887.2608,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000059
2023-02-17 00:00:00,23536.4,2023-02-17 00:30:00,23771.764000000003,TP,conservative,BB 하단 + RSI 과매도,1.000000000000006
2023-02-17 06:45:00,23668.8,2023-02-17 12:30:00,23905.488,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000082
2023-02-17 14:30:00,24216.5,2023-02-17 14:45:00,23974.335,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000036
2023-02-17 15:30:00,24144.7,2023-02-17 20:00:00,24627.594,TP,aggressive,BB 상단 돌파 + RSI 강세,2.000000000000001
2023-02-18 14:45:00,24700.1,2023-02-19 14:45:00,24754.3,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.21943230999065078
2023-02-20 00:00:00,24377.9,2023-02-20 00:45:00,24134.121000000003,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999943
2023-02-20 01:15:00,24005.7,2023-02-20 01:45:00,24245.757,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000029
2023-02-20 09:15:00,24526.7,2023-02-20 09:45:00,24894.600499999997,TP,momentum,BB 찢고 큰 양봉,1.499999999999984
2023-02-20 14:45:00,24978.6,2023-02-20 16:15:00,24728.814,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000004
2023-02-20 22:30:00,24713.4,2023-02-21 02:30:00,24960.534000000003,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000073
2023-02-21 15:30:00,24591.9,2023-02-21 16:15:00,24345.981,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000069
2023-02-21 21:30:00,24282.5,2023-02-22 02:00:00,24088.24,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999934
2023-02-22 02:30:00,24143.8,2023-02-22 08:30:00,23902.361999999997,SL,momentum,BB 찢고 큰 양봉,-1.000000000000008
2023-02-23 12:15:00,23821.6,2023-02-23 13:00:00,24059.816,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000016
2023-02-23 17:00:00,23844.5,2023-02-24 15:15:00,23606.055,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999988
2023-02-24 16:15:00,23135.1,2023-02-24 19:30:00,22950.0192,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999988
2023-02-25 08:00:00,23142.0,2023-02-25 11:00:00,22910.579999999998,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000082
2023-02-28 19:30:00,23268.7,2023-02-28 21:30:00,23082.5504,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000028
2023-03-01 20:00:00,23428.3,2023-03-01 23:30:00,23662.583,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999976
2023-03-03 02:00:00,22283.4,2023-03-04 02:00:00,22343.5,Time Stop,conservative,BB 하단 + RSI 과매도,0.26970749526552745
2023-03-04 20:15:00,22226.4,2023-03-05 01:15:00,22448.664,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999963
2023-03-05 13:45:00,22457.3,2023-03-06 13:45:00,22427.9,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,-0.13091511446165754
2023-03-06 15:45:00,22538.9,2023-03-06 21:00:00,22313.511000000002,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999963
2023-03-07 01:00:00,22482.2,2023-03-07 14:30:00,22257.378,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000004
2023-03-07 21:15:00,22013.5,2023-03-08 00:00:00,22233.635,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999928
2023-03-08 05:45:00,21944.2,2023-03-08 15:00:00,22163.642,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999959
2023-03-08 23:45:00,21702.0,2023-03-09 16:30:00,21528.384,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000084
2023-03-09 17:15:00,21498.6,2023-03-09 18:15:00,21326.6112,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999962
2023-03-09 21:00:00,20264.0,2023-03-09 22:00:00,20466.64,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999971
2023-03-10 07:15:00,19931.6,2023-03-10 10:30:00,19732.284,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999944
2023-03-10 11:00:00,19688.7,2023-03-10 12:15:00,19885.587,TP,conservative,BB 하단 + RSI 과매도,0.999999999999994
2023-03-10 13:30:00,20192.7,2023-03-10 14:00:00,19990.773,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999984
2023-03-10 21:45:00,20069.0,2023-03-11 01:30:00,20470.38,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000053
2023-03-11 08:00:00,19890.9,2023-03-11 08:30:00,20089.809,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999981
2023-03-11 14:30:00,20163.9,2023-03-12 14:30:00,20379.3,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,1.0682457262731804
2023-03-12 17:15:00,20627.8,2023-03-12 18:30:00,21040.356,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000027
2023-03-12 22:15:00,21791.0,2023-03-13 00:15:00,22226.82,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999987
2023-03-13 00:30:00,22453.6,2023-03-13 02:15:00,22229.064,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000004
2023-03-13 09:45:00,21955.0,2023-03-13 11:00:00,22174.55,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999967
2023-03-13 13:15:00,22426.3,2023-03-13 14:00:00,22874.826,TP,aggressive,BB 상단 돌파 + RSI 강세,2.000000000000007
2023-03-14 00:15:00,24124.6,2023-03-14 02:00:00,24486.468999999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999951
2023-03-14 05:00:00,24688.7,2023-03-14 05:15:00,24441.813000000002,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999951
2023-03-14 10:45:00,24580.0,2023-03-14 12:30:00,25071.600000000002,TP,aggressive,BB 상단 돌파 + RSI 강세,2.000000000000009
2023-03-14 18:15:00,25562.6,2023-03-14 18:45:00,25306.974,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000009
2023-03-14 19:30:00,24585.7,2023-03-14 19:45:00,24831.557,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999999
2023-03-14 21:15:00,24398.0,2023-03-14 22:00:00,24763.969999999998,TP,momentum,BB 찢고 큰 양봉,1.4999999999999898
2023-03-15 10:00:00,24566.2,2023-03-15 11:15:00,24369.6704,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000068
2023-03-15 11:30:00,24605.6,2023-03-15 12:30:00,24974.683999999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999958
2023-03-15 13:00:00,25058.8,2023-03-15 13:45:00,24808.212,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.999999999999999
2023-03-15 16:15:00,24314.6,2023-03-15 16:45:00,24071.453999999998,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000027
2023-03-15 17:00:00,24317.1,2023-03-16 07:30:00,24681.856499999994,TP,momentum,BB 찢고 큰 양봉,1.4999999999999831
2023-03-16 09:30:00,24777.3,2023-03-16 13:15:00,24529.527,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000042
2023-03-16 19:15:00,24978.8,2023-03-16 20:45:00,24729.012,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.000000000000002
2023-03-16 21:30:00,25062.4,2023-03-17 01:45:00,25563.648,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999982
2023-03-17 06:30:00,26125.7,2023-03-17 10:30:00,26648.214,TP,aggressive,BB 상단 돌파 + RSI 강세,1.999999999999997
2023-03-17 14:45:00,26278.0,2023-03-17 19:00:00,26672.17,TP,momentum,BB 찢고 큰 양봉,1.4999999999999933
2023-03-17 21:30:00,27158.6,2023-03-17 21:45:00,26887.014,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999976
2023-03-17 22:15:00,27373.1,2023-03-18 00:15:00,27099.369,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999991
2023-03-18 05:45:00,27570.8,2023-03-18 07:45:00,27295.092,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999953
2023-03-18 23:00:00,26990.0,2023-03-19 04:00:00,27259.9,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000053
2023-03-19 07:15:00,26945.1,2023-03-19 12:00:00,27214.551,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000036
2023-03-19 12:30:00,27279.2,2023-03-19 16:30:00,27824.784,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999958
2023-03-20 02:45:00,27427.0,2023-03-20 03:15:00,27152.73,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000016
2023-03-20 07:00:00,27871.0,2023-03-20 08:30:00,28428.420000000002,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000067
2023-03-20 14:00:00,27922.6,2023-03-20 15:45:00,27643.374,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999956
2023-03-20 16:15:00,27627.1,2023-03-20 18:30:00,27903.371,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000024
2023-03-20 23:45:00,27703.6,2023-03-21 07:00:00,27426.564,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000002
2023-03-21 07:15:00,27500.1,2023-03-21 09:30:00,27912.601499999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999947
2023-03-21 16:30:00,28326.4,2023-03-21 17:30:00,28043.136000000002,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999972
2023-03-22 03:00:00,28168.6,2023-03-22 14:45:00,28731.971999999998,TP,aggressive,BB 상단 돌파 + RSI 강세,1.999999999999998
2023-03-22 19:15:00,27528.5,2023-03-22 19:30:00,27308.272,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999969
2023-03-22 20:00:00,26901.1,2023-03-22 20:45:00,27170.110999999997,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999948
2023-03-23 05:30:00,27555.7,2023-03-23 13:15:00,27280.143,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000024
2023-03-23 13:30:00,27358.6,2023-03-23 14:45:00,27632.185999999998,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999976
2023-03-23 19:30:00,28125.8,2023-03-24 11:45:00,27844.541999999998,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000058
2023-03-24 12:00:00,27783.8,2023-03-24 14:00:00,28200.556999999997,TP,momentum,BB 찢고 큰 양봉,1.4999999999999922
2023-03-25 05:45:00,27442.0,2023-03-25 15:45:00,27716.420000000002,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000069
2023-03-25 19:30:00,27271.2,2023-03-26 00:30:00,27543.912,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999983
2023-03-26 08:30:00,27662.6,2023-03-27 08:30:00,27793.4,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.47284058620665775
2023-03-27 09:45:00,27918.1,2023-03-27 13:30:00,27638.918999999998,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000018
2023-03-27 14:30:00,27380.6,2023-03-27 14:45:00,27161.5552,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999988
2023-03-27 15:15:00,26939.5,2023-03-27 16:15:00,27208.895,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000016
2023-03-28 01:15:00,26996.0,2023-03-28 10:15:00,26726.04,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999967
2023-03-28 10:45:00,26730.0,2023-03-28 11:15:00,26997.3,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999972
2023-03-28 18:45:00,27322.7,2023-03-29 06:15:00,27869.154000000002,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000058
2023-03-29 17:00:00,28273.7,2023-03-30 02:15:00,28697.8055,TP,momentum,BB 찢고 큰 양봉,1.4999999999999922
2023-03-30 14:15:00,28387.3,2023-03-30 16:15:00,28103.427,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999987
2023-03-30 18:15:00,27871.0,2023-03-30 20:30:00,28149.71,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999969
2023-03-31 00:45:00,28234.3,2023-03-31 05:45:00,27951.957,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000027
2023-03-31 07:45:00,27729.8,2023-03-31 12:30:00,28007.097999999998,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999959
2023-03-31 22:15:00,28560.0,2023-04-01 14:30:00,28274.4,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.999999999999995
2023-04-01 20:30:00,28485.6,2023-04-02 13:00:00,28200.744,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999991
2023-04-02 13:15:00,28257.1,2023-04-02 16:15:00,27974.529,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999997
2023-04-05 14:15:00,28160.0,2023-04-05 15:00:00,27934.72,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999958
2023-04-06 08:00:00,27920.0,2023-04-06 10:30:00,27696.64,SL,conservative,BB 하단 + RSI 과매도,-0.800000000000002
2023-04-07 08:00:00,27860.3,2023-04-08 05:45:00,28138.903,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999971
2023-04-09 07:15:00,27894.6,2023-04-09 19:15:00,28173.546,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999997
2023-04-09 21:15:00,28306.2,2023-04-10 16:45:00,28872.324,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999993
2023-04-10 22:00:00,29492.8,2023-04-11 01:45:00,30082.656,TP,aggressive,BB 상단 돌파 + RSI 강세,1.9999999999999993
2023-04-11 13:15:00,30158.2,2023-04-12 02:30:00,29856.618000000002,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.999999999999995
2023-04-12 03:00:00,29947.9,2023-04-12 12:30:00,30247.379,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999978
2023-04-12 13:00:00,30218.9,2023-04-12 15:00:00,29916.711000000003,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.999999999999995
2023-04-12 15:15:00,29903.7,2023-04-13 09:15:00,30352.2555,TP,momentum,BB 찢고 큰 양봉,1.4999999999999953
2023-04-13 14:15:00,30290.3,2023-04-14 01:45:00,30896.106,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000018
2023-04-14 06:45:00,30944.8,2023-04-14 12:45:00,30635.352,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.000000000000001
2023-04-14 15:30:00,30263.9,2023-04-14 16:30:00,30021.788800000002,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999979
2023-04-14 20:15:00,30418.3,2023-04-15 20:15:00,30326.7,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,-0.3011345144205907
2023-04-16 12:00:00,30242.7,2023-04-16 19:00:00,30545.127,TP,conservative,BB 하단 + RSI 과매도,0.999999999999999
2023-04-17 01:00:00,29912.6,2023-04-17 11:30:00,29673.299199999998,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000029
2023-04-17 11:45:00,29564.1,2023-04-17 13:15:00,29327.587199999998,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000014
2023-04-18 01:15:00,29288.0,2023-04-18 06:15:00,29727.319999999996,TP,momentum,BB 찢고 큰 양봉,1.4999999999999867
2023-04-18 11:15:00,29995.9,2023-04-19 08:00:00,29695.941000000003,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999963
2023-04-19 09:00:00,29206.8,2023-04-19 15:30:00,28973.1456,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999982
2023-04-20 12:00:00,28624.9,2023-04-20 12:15:00,28395.9008,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000069
2023-04-21 07:00:00,27988.7,2023-04-21 13:30:00,28268.587,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999957
2023-04-21 19:15:00,27377.1,2023-04-21 19:30:00,27158.083199999997,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000045
2023-04-21 20:00:00,27310.6,2023-04-21 22:30:00,27092.115199999997,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000073
2023-04-23 15:45:00,27459.5,2023-04-24 00:45:00,27734.095,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000042
2023-04-24 07:15:00,27464.0,2023-04-24 08:30:00,27244.288,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999983
2023-04-24 09:00:00,27261.6,2023-04-24 11:45:00,27534.216,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000067
2023-04-24 13:30:00,27655.0,2023-04-24 14:30:00,27378.45,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999974
2023-04-26 20:30:00,28091.1,2023-04-26 20:45:00,28372.011,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000002
2023-04-27 00:15:00,29393.1,2023-04-27 00:30:00,29099.168999999998,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000018
2023-04-27 12:45:00,28840.0,2023-04-27 15:15:00,29272.6,TP,momentum,BB 찢고 큰 양봉,1.499999999999995
2023-04-27 18:15:00,29614.4,2023-04-27 22:45:00,29318.256,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000007
2023-04-28 09:15:00,29204.3,2023-04-28 13:30:00,28970.6656,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999965
2023-04-28 14:00:00,29151.2,2023-04-29 14:00:00,29336.7,Time Stop,momentum,BB 찢고 큰 양봉,0.6363374406542441
2023-04-29 18:00:00,29199.9,2023-04-30 15:00:00,29491.899,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999993
2023-04-30 20:15:00,29302.1,2023-05-01 01:30:00,29067.6832,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999969
2023-05-01 02:00:00,28621.8,2023-05-01 05:30:00,28392.8256,SL,conservative,BB 하단 + RSI 과매도,-0.799999999999997
2023-05-01 15:45:00,28162.8,2023-05-01 19:15:00,27937.4976,SL,conservative,BB 하단 + RSI 과매도,-0.8000000000000017
2023-05-01 21:00:00,27792.6,2023-05-01 21:30:00,28070.525999999998,TP,conservative,BB 하단 + RSI 과매도,0.9999999999999981
2023-05-02 07:00:00,28064.5,2023-05-02 15:30:00,28625.79,TP,aggressive,BB 상단 돌파 + RSI 강세,2.000000000000003
2023-05-02 19:00:00,28779.9,2023-05-03 00:45:00,28492.101000000002,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999967
2023-05-03 02:15:00,28436.1,2023-05-03 08:15:00,28720.461,TP,conservative,BB 하단 + RSI 과매도,1.0000000000000029
2023-05-03 13:30:00,28331.1,2023-05-03 14:45:00,28104.4512,SL,conservative,BB 하단 + RSI 과매도,-0.7999999999999965
2023-05-03 17:15:00,28562.8,2023-05-03 18:30:00,28277.172,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.000000000000002
