datetime,H_value,H_num
2020-05-09 17:45:00,9795.0,140
2020-05-10 08:00:00,8898.5,141
2020-05-10 20:00:00,8778.0,142
2020-05-10 23:00:00,8834.0,143
2020-05-11 06:15:00,8725.5,144
2020-05-11 12:30:00,9158.5,145
2020-05-11 20:00:00,8802.0,146
2020-05-12 05:30:00,8777.0,147
2020-05-12 09:00:00,8830.5,148
2020-05-12 17:00:00,8973.0,149
2020-05-13 02:00:00,8970.0,150
2020-05-13 15:30:00,9180.0,151
2020-05-13 21:15:00,9400.5,152
2020-05-14 00:15:00,9383.0,153
2020-05-14 10:00:00,9940.0,154
2020-05-14 16:00:00,9781.0,155
2020-05-14 20:30:00,9873.5,156
2020-05-14 23:30:00,9845.5,157
2020-05-15 07:45:00,9715.0,158
2020-05-15 11:30:00,9650.0,159
2020-05-15 14:30:00,9612.0,160
2020-05-15 18:15:00,9530.0,161
2020-05-15 22:30:00,9484.5,162
2020-05-16 05:15:00,9583.0,163
2020-05-16 13:00:00,9520.0,164
2020-05-17 03:45:00,9574.0,165
2020-05-17 07:00:00,9563.0,166
2020-05-17 15:00:00,9886.0,167
2020-05-17 21:15:00,9790.0,168
2020-05-18 01:30:00,9957.5,169
2020-05-18 14:30:00,9729.0,170
2020-05-18 23:00:00,9754.0,171
2020-05-19 11:15:00,9896.0,172
2020-05-20 00:15:00,9800.0,173
2020-05-20 06:30:00,9848.5,174
2020-05-20 10:00:00,9805.0,175
2020-05-20 14:00:00,9797.0,176
2020-05-20 20:45:00,9600.0,177
2020-05-21 00:30:00,9573.0,178
2020-05-21 06:15:00,9529.5,179
2020-05-21 22:30:00,9161.0,180
2020-05-22 07:00:00,9112.0,181
2020-05-22 12:30:00,9199.0,182
2020-05-22 17:00:00,9264.5,183
2020-05-23 03:00:00,9308.5,184
2020-05-23 07:45:00,9262.5,185
2020-05-23 14:45:00,9214.5,186
2020-05-23 20:45:00,9243.0,187
2020-05-24 02:30:00,9227.0,188
2020-05-24 06:15:00,9291.5,189
2020-05-24 09:00:00,9295.0,190
2020-05-24 21:30:00,9077.0,191
2020-05-25 08:00:00,8876.5,192
2020-05-25 14:00:00,8856.0,193
2020-05-25 19:45:00,8974.0,194
2020-05-25 23:00:00,8934.5,195
2020-05-26 08:00:00,9011.0,196
2020-05-26 21:00:00,8881.5,197
2020-05-27 12:00:00,9185.0,198
2020-05-27 15:15:00,9222.0,199
2020-05-28 00:45:00,9278.0,200
2020-05-28 16:00:00,9533.0,201
2020-05-28 23:30:00,9614.5,202
2020-05-29 08:15:00,9586.5,203
2020-05-29 14:00:00,9478.0,204
2020-05-29 17:15:00,9452.5,205
2020-05-29 23:15:00,9447.5,206
2020-05-30 06:00:00,9599.0,207
2020-05-30 11:30:00,9579.0,208
2020-05-30 14:30:00,9569.0,209
2020-05-30 23:00:00,9735.0,210
2020-05-31 12:00:00,9633.5,211
2020-06-01 04:15:00,9610.0,212
2020-06-01 07:30:00,9574.0,213
2020-06-01 12:30:00,9587.5,214
2020-06-01 16:15:00,9605.5,215
2020-06-01 23:30:00,10352.0,216
2020-06-02 08:00:00,10159.0,217
2020-06-02 13:30:00,10188.5,218
2020-06-02 18:15:00,9536.0,219
2020-06-02 22:15:00,9549.5,220
2020-06-03 12:00:00,9642.0,221
2020-06-03 19:00:00,9622.0,222
2020-06-03 23:30:00,9693.5,223
2020-06-04 03:45:00,9685.0,224
2020-06-04 07:30:00,9660.5,225
2020-06-04 18:00:00,9876.0,226
2020-06-04 23:15:00,9860.0,227
2020-06-05 08:30:00,9851.5,228
2020-06-05 18:45:00,9753.5,229
2020-06-06 03:45:00,9644.0,230
2020-06-06 12:00:00,9730.0,231
2020-06-06 20:45:00,9715.5,232
2020-06-06 23:45:00,9701.0,233
2020-06-07 04:00:00,9710.0,234
2020-06-07 08:45:00,9678.0,235
2020-06-07 19:45:00,9807.5,236
2020-06-07 23:00:00,9776.0,237
2020-06-08 05:45:00,9751.0,238
2020-06-08 09:15:00,9799.0,239
2020-06-08 17:00:00,9739.5,240
2020-06-09 00:00:00,9873.5,241
2020-06-09 12:00:00,9748.0,242
2020-06-09 22:00:00,9832.0,243
2020-06-10 01:30:00,9810.0,244
2020-06-10 07:00:00,9780.0,245
2020-06-10 12:45:00,9770.0,246
2020-06-10 18:45:00,9995.0,247
2020-06-10 22:30:00,9908.0,248
2020-06-11 01:30:00,9968.0,249
2020-06-11 21:00:00,9372.0,250
2020-06-12 03:30:00,9396.0,251
2020-06-12 08:00:00,9492.5,252
2020-06-12 14:00:00,9550.0,253
2020-06-13 09:15:00,9464.0,254
2020-06-13 15:00:00,9461.5,255
2020-06-13 19:30:00,9494.0,256
2020-06-14 00:00:00,9477.5,257
2020-06-14 11:30:00,9440.5,258
2020-06-14 15:45:00,9437.5,259
2020-06-14 22:30:00,9411.0,260
2020-06-15 08:30:00,9167.5,261
2020-06-15 21:00:00,9487.0,262
2020-06-16 03:00:00,9580.0,263
2020-06-16 09:15:00,9543.0,264
2020-06-16 13:00:00,9584.5,265
2020-06-16 18:30:00,9509.5,266
2020-06-16 23:30:00,9531.0,267
2020-06-17 07:45:00,9529.5,268
2020-06-17 13:15:00,9564.0,269
2020-06-17 23:45:00,9469.5,270
2020-06-18 09:45:00,9485.5,271
2020-06-18 19:30:00,9410.0,272
2020-06-18 23:30:00,9412.0,273
2020-06-19 06:00:00,9328.5,274
2020-06-19 09:15:00,9439.5,275
2020-06-19 12:30:00,9419.0,276
2020-06-19 22:00:00,9355.0,277
2020-06-20 03:15:00,9346.5,278
2020-06-20 11:15:00,9380.0,279
2020-06-20 22:30:00,9392.0,280
2020-06-21 02:00:00,9402.5,281
2020-06-21 06:00:00,9415.5,282
2020-06-21 15:45:00,9388.5,283
2020-06-22 05:00:00,9449.5,284
2020-06-22 13:00:00,9501.5,285
2020-06-22 16:45:00,9625.0,286
2020-06-22 21:00:00,9782.0,287
2020-06-23 07:45:00,9669.0,288
2020-06-23 15:45:00,9688.5,289
2020-06-23 22:30:00,9650.0,290
2020-06-24 06:00:00,9670.0,291
2020-06-24 23:15:00,9322.0,292
2020-06-25 08:45:00,9331.0,293
2020-06-25 17:15:00,9293.0,294
2020-06-25 21:15:00,9337.0,295
2020-06-26 10:00:00,9252.0,296
2020-06-26 13:00:00,9233.5,297
2020-06-27 03:15:00,9185.0,298
2020-06-27 11:30:00,9184.0,299
2020-06-28 10:00:00,9083.0,300
2020-06-28 16:15:00,9190.0,301
2020-06-29 01:00:00,9146.5,302
2020-06-29 05:30:00,9129.5,303
2020-06-29 09:45:00,9135.0,304
2020-06-29 18:00:00,9179.0,305
2020-06-29 22:00:00,9234.0,306
2020-06-30 01:30:00,9205.0,307
2020-06-30 09:30:00,9171.5,308
2020-06-30 15:15:00,9185.0,309
2020-06-30 21:45:00,9168.0,310
2020-07-01 04:45:00,9159.5,311
2020-07-01 08:45:00,9191.0,312
2020-07-01 16:30:00,9289.0,313
2020-07-02 02:15:00,9260.0,314
2020-07-02 09:00:00,9219.0,315
2020-07-02 13:45:00,9255.0,316
2020-07-02 21:45:00,9150.0,317
2020-07-03 08:15:00,9124.5,318
2020-07-03 13:15:00,9119.5,319
2020-07-03 16:15:00,9110.0,320
2020-07-03 22:15:00,9100.0,321
2020-07-04 02:15:00,9093.0,322
2020-07-04 13:45:00,9080.0,323
2020-07-04 17:45:00,9185.5,324
2020-07-05 00:15:00,9143.5,325
2020-07-05 15:00:00,9065.0,326
2020-07-05 22:45:00,9095.0,327
2020-07-06 07:00:00,9242.0,328
2020-07-06 16:15:00,9349.0,329
2020-07-07 12:00:00,9286.5,330
2020-07-07 18:00:00,9278.0,331
2020-07-08 03:15:00,9319.5,332
2020-07-08 08:15:00,9298.0,333
2020-07-08 14:00:00,9466.5,334
2020-07-08 22:30:00,9462.5,335
2020-07-09 06:30:00,9413.5,336
2020-07-09 12:45:00,9425.5,337
2020-07-10 11:15:00,9197.0,338
2020-07-10 16:00:00,9245.0,339
2020-07-10 20:30:00,9250.5,340
2020-07-10 23:30:00,9300.0,341
2020-07-11 16:00:00,9253.5,342
2020-07-12 01:30:00,9289.5,343
2020-07-12 13:15:00,9335.0,344
2020-07-12 16:45:00,9220.0,345
2020-07-12 22:00:00,9317.5,346
2020-07-13 12:00:00,9335.5,347
2020-07-14 08:30:00,9202.0,348
2020-07-14 12:00:00,9248.0,349
2020-07-14 20:00:00,9271.5,350
2020-07-15 00:15:00,9265.0,351
2020-07-15 10:00:00,9243.0,352
2020-07-15 15:00:00,9239.0,353
2020-07-15 21:45:00,9234.0,354
2020-07-16 02:00:00,9219.5,355
2020-07-16 18:30:00,9148.0,356
2020-07-16 23:00:00,9141.0,357
2020-07-17 06:30:00,9125.0,358
2020-07-17 12:15:00,9180.0,359
2020-07-17 20:00:00,9168.0,360
2020-07-18 00:15:00,9160.0,361
2020-07-18 05:15:00,9141.5,362
2020-07-18 09:00:00,9214.0,363
2020-07-19 16:30:00,9168.0,364
2020-07-19 23:30:00,9224.5,365
2020-07-20 09:15:00,9189.0,366
2020-07-20 17:30:00,9197.0,367
2020-07-21 07:30:00,9365.5,368
2020-07-21 13:15:00,9437.0,369
2020-07-21 19:00:00,9379.0,370
2020-07-22 07:30:00,9350.0,371
2020-07-22 11:45:00,9351.0,372
2020-07-22 19:15:00,9375.0,373
2020-07-22 22:30:00,9537.0,374
2020-07-23 08:30:00,9529.0,375
2020-07-23 17:00:00,9662.0,376
2020-07-24 10:30:00,9555.0,377
2020-07-24 21:00:00,9630.0,378
2020-07-25 05:00:00,9615.5,379
2020-07-25 13:30:00,9600.0,380
2020-07-25 18:00:00,9707.0,381
2020-07-25 20:45:00,9730.0,382
2020-07-26 10:00:00,10138.0,383
2020-07-26 16:00:00,9981.0,384
2020-07-27 03:45:00,10323.0,385
2020-07-27 17:00:00,10944.5,386
2020-07-27 22:15:00,11393.0,387
2020-07-28 15:00:00,11185.0,388
2020-07-29 03:15:00,11001.0,389
2020-07-29 09:00:00,11147.0,390
2020-07-29 14:45:00,11294.0,391
2020-07-29 21:45:00,11345.0,392
2020-07-30 13:30:00,11035.0,393
2020-07-30 20:45:00,11170.0,394
2020-07-31 08:15:00,11189.5,395
2020-07-31 16:15:00,11443.5,396
2020-07-31 21:30:00,11422.5,397
2020-08-01 06:15:00,11748.0,398
2020-08-01 10:00:00,11732.0,399
2020-08-01 21:00:00,11865.5,400
2020-08-02 04:00:00,12113.5,401
2020-08-02 17:45:00,11282.0,402
2020-08-03 02:45:00,11207.0,403
2020-08-03 16:15:00,11471.5,404
2020-08-04 00:45:00,11418.0,405
2020-08-04 08:15:00,11312.0,406
2020-08-04 15:00:00,11236.5,407
2020-08-04 18:00:00,11266.0,408
2020-08-05 16:00:00,11720.0,409
2020-08-06 00:00:00,11798.0,410
2020-08-06 09:45:00,11755.0,411
2020-08-06 14:00:00,11883.0,412
2020-08-06 19:30:00,11901.0,413
2020-08-07 02:45:00,11916.5,414
2020-08-07 09:15:00,11847.0,415
2020-08-08 01:30:00,11658.0,416
2020-08-08 06:15:00,11618.5,417
2020-08-08 12:00:00,11810.0,418
2020-08-09 00:45:00,11799.5,419
2020-08-09 03:30:00,11777.5,420
2020-08-09 08:00:00,11720.0,421
2020-08-10 03:15:00,12063.0,422
2020-08-10 14:30:00,11965.0,423
2020-08-11 01:45:00,11934.5,424
2020-08-11 23:45:00,11426.5,425
2020-08-12 10:30:00,11542.0,426
2020-08-12 15:00:00,11613.5,427
2020-08-12 19:45:00,11596.5,428
2020-08-13 11:15:00,11617.0,429
2020-08-14 00:00:00,11835.0,430
2020-08-14 11:45:00,11782.5,431
2020-08-14 16:30:00,11861.0,432
2020-08-15 00:30:00,11981.0,433
2020-08-15 08:00:00,11937.5,434
2020-08-15 16:00:00,11911.0,435
2020-08-15 21:30:00,11981.5,436
2020-08-16 04:00:00,11936.0,437
2020-08-16 16:00:00,11900.0,438
2020-08-17 00:00:00,11935.5,439
2020-08-17 03:45:00,11881.0,440
2020-08-17 16:00:00,12499.5,441
2020-08-17 23:00:00,12424.5,442
2020-08-18 10:45:00,12310.0,443
2020-08-18 17:00:00,12056.5,444
2020-08-18 21:15:00,12090.0,445
2020-08-19 13:15:00,11922.5,446
2020-08-20 00:15:00,11820.0,447
2020-08-20 06:15:00,11790.0,448
2020-08-20 12:00:00,11853.5,449
