entry_time,entry_price,signal_type,tp_price,sl_price,exit_time,exit_price,exit_type,pnl_pct
2023-01-01 07:30:00,16537.5,강력한 반전 (BB 찢고 복귀),16785.5625,16372.125,2023-01-02 07:30:00,16735.5,Time Stop,1.1972789115646258
2023-01-01 16:15:00,16589.0,추세확정 (BB 상단 돌파),16920.78,16423.11,2023-01-02 16:15:00,16730.0,Time Stop,0.8499608174091264
2023-01-01 17:15:00,16592.5,추세확정 (BB 상단 돌파),16924.35,16426.575,2023-01-02 17:15:00,16715.5,Time Stop,0.7412987795690824
2023-01-01 18:00:00,16600.5,추세확정 (BB 상단 돌파),16932.510000000002,16434.495,2023-01-02 18:00:00,16707.5,Time Stop,0.6445588988283486
2023-01-01 19:15:00,16629.5,추세확정 (BB 상단 돌파),16962.09,16463.204999999998,2023-01-02 19:15:00,16720.5,Time Stop,0.5472203012718362
2023-01-02 01:30:00,16574.5,역추세 반등 (BB 하단),16740.245,16408.755,2023-01-02 07:15:00,16740.245,TP,0.9999999999999938
2023-01-02 01:30:00,16574.5,강력한 반전 (BB 찢고 복귀),16823.117499999997,16408.755,2023-01-03 01:30:00,16666.0,Time Stop,0.5520528522730701
2023-01-02 02:00:00,16576.5,강력한 반전 (BB 찢고 복귀),16825.1475,16410.735,2023-01-03 02:00:00,16681.0,Time Stop,0.6304105209181673
2023-01-02 03:45:00,16664.5,추세확정 (BB 상단 돌파),16997.79,16497.855,2023-01-03 03:45:00,16691.0,Time Stop,0.15902067268744935
2023-01-02 07:00:00,16698.0,추세확정 (BB 상단 돌파),17031.96,16531.02,2023-01-03 07:00:00,16721.0,Time Stop,0.13774104683195593
2023-01-02 13:45:00,16694.0,역추세 반등 (BB 하단),16860.94,16527.06,2023-01-03 13:45:00,16724.0,Time Stop,0.17970528333533006
2023-01-02 14:00:00,16706.5,역추세 반등 (BB 하단),16873.565,16539.435,2023-01-03 14:00:00,16742.0,Time Stop,0.21249214377637446
2023-01-02 14:00:00,16706.5,강력한 반전 (BB 찢고 복귀),16957.0975,16539.435,2023-01-03 14:00:00,16742.0,Time Stop,0.21249214377637446
2023-01-02 14:30:00,16700.5,역추세 반등 (BB 하단),16867.505,16533.495,2023-01-03 14:30:00,16748.0,Time Stop,0.28442262207718333
2023-01-02 14:30:00,16700.5,강력한 반전 (BB 찢고 복귀),16951.0075,16533.495,2023-01-03 14:30:00,16748.0,Time Stop,0.28442262207718333
2023-01-02 21:45:00,16752.0,추세확정 (BB 상단 돌파),17087.04,16584.48,2023-01-03 21:45:00,16662.0,Time Stop,-0.5372492836676217
2023-01-02 23:00:00,16713.0,역추세 반등 (BB 하단),16880.13,16545.87,2023-01-03 23:00:00,16675.0,Time Stop,-0.2273679171902112
2023-01-02 23:00:00,16713.0,강력한 반전 (BB 찢고 복귀),16963.695,16545.87,2023-01-03 23:00:00,16675.0,Time Stop,-0.2273679171902112
2023-01-03 00:00:00,16682.0,역추세 반등 (BB 하단),16848.82,16515.18,2023-01-04 00:00:00,16664.5,Time Stop,-0.10490348879031292
2023-01-03 00:00:00,16682.0,강력한 반전 (BB 찢고 복귀),16932.23,16515.18,2023-01-04 00:00:00,16664.5,Time Stop,-0.10490348879031292
2023-01-03 05:45:00,16719.5,추세확정 (BB 상단 돌파),17053.89,16552.305,2023-01-04 05:45:00,16849.5,Time Stop,0.7775352133736058
2023-01-03 14:30:00,16748.0,추세확정 (BB 상단 돌파),17082.96,16580.52,2023-01-04 14:30:00,16834.0,Time Stop,0.5134941485550514
2023-01-03 15:00:00,16658.5,역추세 반등 (BB 하단),16825.085,16491.915,2023-01-04 03:00:00,16825.085,TP,0.9999999999999948
2023-01-03 15:30:00,16653.0,역추세 반등 (BB 하단),16819.53,16486.47,2023-01-04 03:00:00,16819.53,TP,0.9999999999999931
2023-01-03 15:30:00,16653.0,강력한 반전 (BB 찢고 복귀),16902.795,16486.47,2023-01-04 08:15:00,16902.795,TP,1.4999999999999896
2023-01-04 01:00:00,16692.0,추세확정 (BB 상단 돌파),17025.84,16525.079999999998,2023-01-05 01:00:00,16817.0,Time Stop,0.7488617301701415
2023-01-04 02:30:00,16739.0,추세확정 (BB 상단 돌파),17073.78,16571.61,2023-01-05 02:30:00,16825.5,Time Stop,0.5167572734332995
2023-01-04 03:00:00,16831.5,추세확정 (BB 상단 돌파),17168.13,16663.185,2023-01-05 03:00:00,16822.5,Time Stop,-0.05347117012743962
2023-01-04 03:45:00,16853.5,추세확정 (BB 상단 돌파),17190.57,16684.965,2023-01-05 03:45:00,16815.0,Time Stop,-0.22843919660604622
2023-01-04 10:45:00,16838.0,역추세 반등 (BB 하단),17006.38,16669.62,2023-01-05 10:45:00,16820.0,Time Stop,-0.10690105713267609
2023-01-04 12:00:00,16840.0,강력한 반전 (BB 찢고 복귀),17092.6,16671.6,2023-01-05 12:00:00,16814.0,Time Stop,-0.15439429928741094
2023-01-04 13:00:00,16819.5,역추세 반등 (BB 하단),16987.695,16651.305,2023-01-04 19:00:00,16987.695,TP,0.9999999999999983
2023-01-04 13:00:00,16819.5,강력한 반전 (BB 찢고 복귀),17071.7925,16651.305,2023-01-05 13:00:00,16817.5,Time Stop,-0.011890959897737745
2023-01-04 14:15:00,16816.0,역추세 반등 (BB 하단),16984.16,16647.84,2023-01-04 19:00:00,16984.16,TP,0.9999999999999991
2023-01-04 14:15:00,16816.0,강력한 반전 (BB 찢고 복귀),17068.239999999998,16647.84,2023-01-05 14:15:00,16803.5,Time Stop,-0.07433396764985728
2023-01-04 14:30:00,16834.0,강력한 반전 (BB 찢고 복귀),17086.51,16665.66,2023-01-05 14:30:00,16781.5,Time Stop,-0.3118688368777474
2023-01-04 15:15:00,16815.5,역추세 반등 (BB 하단),16983.655,16647.345,2023-01-04 19:00:00,16983.655,TP,0.9999999999999931
2023-01-04 15:15:00,16815.5,강력한 반전 (BB 찢고 복귀),17067.7325,16647.345,2023-01-05 15:15:00,16844.0,Time Stop,0.16948648568285213
2023-01-04 16:00:00,16874.5,추세확정 (BB 상단 돌파),17211.99,16705.755,2023-01-05 16:00:00,16850.0,Time Stop,-0.14518948709591395
