datetime,L_value,L_num
2020-05-11 09:45:00,8480.0,140
2020-05-11 18:15:00,8182.0,141
2020-05-12 07:30:00,8617.0,142
2020-05-12 13:00:00,8660.5,143
2020-05-12 21:45:00,8729.5,144
2020-05-13 04:15:00,8867.5,145
2020-05-13 08:00:00,8832.0,146
2020-05-14 02:00:00,9258.5,147
2020-05-14 05:15:00,9262.0,148
2020-05-14 13:00:00,9536.5,149
2020-05-14 17:30:00,9580.0,150
2020-05-14 20:45:00,9600.0,151
2020-05-15 02:30:00,9258.5,152
2020-05-15 05:15:00,9371.5,153
2020-05-15 10:30:00,9478.5,154
2020-05-15 15:45:00,9417.5,155
2020-05-15 20:30:00,9140.5,156
2020-05-16 00:00:00,9220.0,157
2020-05-16 09:30:00,9331.0,158
2020-05-16 19:00:00,9263.5,159
2020-05-17 00:00:00,9323.0,160
2020-05-17 05:45:00,9472.5,161
2020-05-17 09:15:00,9456.0,162
2020-05-17 16:45:00,9704.0,163
2020-05-17 22:15:00,9600.5,164
2020-05-18 08:45:00,9479.0,165
2020-05-18 12:30:00,9567.5,166
2020-05-18 17:45:00,9550.5,167
2020-05-19 04:00:00,9470.0,168
2020-05-19 12:30:00,9552.0,169
2020-05-19 17:30:00,9617.5,170
2020-05-19 20:15:00,9621.5,171
2020-05-20 04:00:00,9701.5,172
2020-05-20 06:45:00,9650.0,173
2020-05-20 11:45:00,9710.0,174
2020-05-20 15:45:00,9323.5,175
2020-05-20 23:15:00,9444.5,176
2020-05-21 04:30:00,9422.0,177
2020-05-21 10:00:00,9235.5,178
2020-05-21 14:30:00,8952.5,179
2020-05-21 18:45:00,8813.0,180
2020-05-22 00:30:00,8971.5,181
2020-05-22 04:30:00,8933.5,182
2020-05-22 13:30:00,9087.0,183
2020-05-22 20:00:00,9131.5,184
2020-05-22 23:30:00,9129.0,185
2020-05-23 12:30:00,9082.0,186
2020-05-23 16:15:00,9135.0,187
2020-05-23 19:00:00,9121.0,188
2020-05-24 00:00:00,9113.0,189
2020-05-24 16:30:00,8851.0,190
2020-05-25 00:00:00,8640.5,191
2020-05-25 03:30:00,8738.0,192
2020-05-25 11:00:00,8669.5,193
2020-05-25 21:30:00,8865.0,194
2020-05-26 00:15:00,8828.0,195
2020-05-26 07:00:00,8859.0,196
2020-05-26 16:00:00,8683.5,197
2020-05-26 19:30:00,8760.0,198
2020-05-27 02:45:00,8815.0,199
2020-05-27 22:00:00,9051.5,200
2020-05-28 08:00:00,9112.5,201
2020-05-28 11:00:00,9153.0,202
2020-05-28 19:00:00,9395.5,203
2020-05-29 05:15:00,9470.5,204
2020-05-29 11:00:00,9345.0,205
2020-05-29 15:15:00,9329.5,206
2020-05-30 00:15:00,9355.0,207
2020-05-30 03:15:00,9327.5,208
2020-05-30 09:00:00,9465.5,209
2020-05-30 15:15:00,9493.5,210
2020-05-30 20:45:00,9397.0,211
2020-05-31 04:15:00,9523.0,212
2020-05-31 09:00:00,9503.0,213
2020-05-31 15:30:00,9435.0,214
2020-05-31 23:00:00,9390.5,215
2020-06-01 12:15:00,9490.5,216
2020-06-01 15:00:00,9497.0,217
2020-06-02 03:15:00,10050.0,218
2020-06-02 15:15:00,9288.0,219
2020-06-02 20:00:00,9455.0,220
2020-06-02 22:45:00,9427.5,221
2020-06-03 02:00:00,9472.0,222
2020-06-03 05:15:00,9395.0,223
2020-06-03 14:00:00,9503.5,224
2020-06-03 19:30:00,9524.0,225
2020-06-03 22:30:00,9560.0,226
2020-06-04 11:30:00,9460.0,227
2020-06-04 18:45:00,9726.0,228
2020-06-04 21:30:00,9731.5,229
2020-06-05 03:45:00,9750.0,230
2020-06-05 08:15:00,9662.5,231
2020-06-05 11:45:00,9601.0,232
2020-06-06 00:30:00,9538.0,233
2020-06-06 08:30:00,9582.5,234
2020-06-06 16:45:00,9584.5,235
2020-06-07 00:15:00,9621.5,236
2020-06-07 08:30:00,9558.5,237
2020-06-07 14:00:00,9380.5,238
2020-06-08 03:30:00,9704.5,239
2020-06-08 08:15:00,9640.5,240
2020-06-08 14:00:00,9654.5,241
2020-06-08 16:45:00,9661.0,242
2020-06-08 21:15:00,9677.0,243
2020-06-09 00:15:00,9569.5,244
2020-06-09 04:15:00,9661.0,245
2020-06-09 10:45:00,9626.0,246
2020-06-09 19:15:00,9677.5,247
2020-06-10 04:30:00,9732.5,248
2020-06-10 09:30:00,9705.0,249
2020-06-10 18:45:00,9688.0,250
2020-06-11 03:30:00,9860.0,251
2020-06-11 06:15:00,9762.0,252
2020-06-11 17:00:00,9100.5,253
2020-06-11 20:00:00,9231.5,254
2020-06-12 00:00:00,9236.5,255
2020-06-12 17:45:00,9305.5,256
2020-06-13 04:15:00,9365.5,257
2020-06-13 11:15:00,9390.0,258
2020-06-13 20:00:00,9350.5,259
2020-06-14 07:00:00,9379.0,260
2020-06-14 14:30:00,9313.0,261
