lh_num,lh_time,lh_price,lh_pct,bb_position,bb_squeeze,bb_width,trend_1h,trend_4h,short_score,long_score,short_ratio,long_ratio,judgment,result,max_gain,max_drop
27,2020-04-05 09:15:00,6820.0,-1.0015967484395372,above_upper,tight,0.9420548049725475,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,drop,0.4105571847507372,-2.052785923753664
28,2020-04-07 16:45:00,7379.0,-1.0658979687604764,upper_half,tight,1.9544175670915283,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,0.047431901341643545,-4.1536793603469295
29,2020-04-08 12:00:00,7338.5,-1.0583793986787104,upper_half,tight,1.4723838282783694,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,0.6745247666416931,-1.9418137221502985
30,2020-04-09 08:00:00,7344.0,-0.5955603681645938,above_upper,tight,1.169342933676945,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.006808278867098672,-3.009259259259256
31,2020-04-09 14:00:00,7342.5,-0.020424836601307117,upper_half,normal,2.2082545592864746,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,sideways,-0.1566224038134112,-1.8386108273748758
32,2020-04-09 22:00:00,7310.0,-0.44262853251617607,above_upper,tight,0.9772930883059127,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,drop,-0.07523939808481428,-6.238030095759239
33,2020-04-10 19:00:00,6943.0,-5.020519835841308,above_upper,normal,2.441715883678212,uptrend,sideways,60,10,85.71428571428571,14.285714285714285,강력 숏,sideways,-0.07201497911565324,-1.8291804695376612
34,2020-04-11 04:15:00,6938.0,-0.07201497911565324,above_upper,tight,1.2863388520382415,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.028826751225141667,-2.262899971173249
35,2020-04-11 11:15:00,6886.5,-0.7422888440472786,upper_half,tight,1.2862043843081439,sideways,sideways,55,0,100.0,0.0,강력 숏,sideways,0.28316270964932055,-1.8369273215711912
36,2020-04-12 05:45:00,6838.0,-0.98465102809151,upper_half,tight,1.281076696885664,sideways,sideways,55,0,100.0,0.0,강력 숏,rise,4.855220824802564,-0.4314126937701057
37,2020-04-12 20:15:00,7143.5,-0.36959553695955494,upper_half,normal,2.5343735436902675,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,drop,0.0,-8.210261076503112
38,2020-04-13 06:30:00,6728.0,-5.816476517113456,above_upper,tight,0.7063636305608749,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,sideways,1.449167657550543,-1.8207491082045224
39,2020-04-13 15:45:00,6796.5,-0.42487729836642174,above_upper,normal,2.336576102934292,uptrend,sideways,60,10,85.71428571428571,14.285714285714285,강력 숏,sideways,1.6994041050540698,-1.0225851541234454
40,2020-04-15 04:00:00,6924.5,-0.6100186593942847,above_upper,tight,1.3584265821121095,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.14441475918839375,-3.574265289912626
41,2020-04-15 18:30:00,6763.5,-2.3250776229330583,above_upper,tight,0.9327520128895692,uptrend,downtrend,85,10,89.47368421052632,10.526315789473683,강력 숏,drop,3.0383677090263905,-4.406002809196419
42,2020-04-16 13:00:00,7079.5,-1.0552061495457732,upper_half,normal,2.2135051465366917,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,sideways,1.5325941097535045,-1.758598771099651
43,2020-04-16 15:45:00,7060.5,-0.26838053534854467,above_upper,tight,1.2781148836501741,sideways,sideways,65,0,100.0,0.0,강력 숏,sideways,1.8058211174845962,-1.4942284540754858
44,2020-04-17 09:45:00,7119.5,-0.9529771841958801,above_upper,tight,1.0541464024232232,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,-0.133436336821402,-1.9313154013624545
45,2020-04-17 19:45:00,7083.0,-0.5126764519980287,above_upper,tight,0.5667494410668039,sideways,downtrend,85,0,100.0,0.0,강력 숏,sideways,0.783566285472248,-0.9812226457715623
46,2020-04-18 05:15:00,7112.5,-0.3642221755270736,above_upper,tight,0.6329272998509468,sideways,sideways,65,0,100.0,0.0,강력 숏,rise,2.073813708260097,-0.8576449912126582
47,2020-04-19 02:45:00,7238.0,-0.6996844560296367,upper_half,tight,0.9086941702895082,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,-0.05526388505111557,-2.6388505111909377
48,2020-04-19 09:45:00,7176.0,-0.8565902182923413,upper_half,tight,1.4405817723995544,sideways,downtrend,75,0,100.0,0.0,강력 숏,sideways,0.26477146042362953,-1.7976588628762502
49,2020-04-19 17:30:00,7161.0,-0.2090301003344508,upper_half,tight,1.3658975189569598,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,0.6982265046781233,-1.0543220220639582
50,2020-04-20 07:30:00,7180.0,-0.4298987657745057,upper_half,tight,0.6339559849131268,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,-0.02089136490250887,-5.988857938718661
51,2020-04-20 15:00:00,7093.5,-1.2047353760445634,upper_half,normal,2.0538984780336387,uptrend,downtrend,70,10,87.5,12.5,강력 숏,drop,-0.14097413124691816,-4.842461408331566
52,2020-04-21 00:30:00,6909.0,-2.600972721505601,above_upper,tight,1.5049728766504031,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.13750180923433053,-2.163844261108694
53,2020-04-21 06:00:00,6894.0,-0.21710811984367862,upper_half,tight,1.0186463898372105,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,sideways,0.6237307803887537,-1.9509718595880465
54,2020-04-21 14:30:00,6872.5,-0.31186539019437687,above_upper,tight,0.8711806084238718,sideways,downtrend,85,0,100.0,0.0,강력 숏,sideways,0.9385230993088411,-1.0476536922517266
55,2020-04-21 21:45:00,6906.5,-0.4396713276632602,above_upper,tight,0.7831204629970181,sideways,sideways,65,0,100.0,0.0,강력 숏,sideways,0.8904655035111952,-1.3175993629189864
56,2020-04-23 21:45:00,7611.0,-1.7111125460063326,above_upper,tight,0.8627110772567155,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.03284719484956122,-2.3387202732886636
57,2020-04-24 03:30:00,7548.0,-0.8277493102089029,above_upper,tight,1.161984073798266,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,0.8015368309485904,-1.9607843137254943
58,2020-04-24 18:00:00,7544.5,-0.8411644870868096,above_upper,tight,1.1654323173351617,sideways,sideways,65,0,100.0,0.0,강력 숏,sideways,0.5368148982702659,-1.4248790509642784
59,2020-04-24 21:15:00,7542.0,-0.033136722115445494,above_upper,tight,0.5560193276329288,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,0.5833996287456955,-1.3922036595067633
60,2020-04-25 20:00:00,7550.0,-1.9798766634209652,upper_half,tight,0.7220868633584199,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,0.324503311258284,-0.7019867549668879
61,2020-04-26 20:00:00,7656.5,-0.5455608235370502,above_upper,tight,1.7105378741320085,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,sideways,1.7632077319924333,-0.9795598511069037
62,2020-04-27 08:15:00,7736.0,-0.7123147019187592,upper_half,tight,1.1901606230247455,sideways,downtrend,75,0,100.0,0.0,강력 숏,sideways,-0.17450879007239184,-1.4477766287487093
63,2020-04-27 12:00:00,7722.5,-0.17450879007239184,upper_half,tight,0.5869449920175168,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,0.718679184202009,-1.2754936872774403
64,2020-04-28 12:45:00,7760.0,-0.2314219593725908,upper_half,tight,1.0530960000368943,sideways,uptrend,55,15,78.57142857142857,21.428571428571427,강력 숏,sideways,0.07087628865980466,-1.1984536082474184
65,2020-04-28 19:00:00,7739.0,-0.27061855670102997,upper_half,tight,0.6273188511885518,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,rise,2.9073523711073745,-0.439333247189555
66,2020-04-29 21:00:00,8931.0,-0.22901189744735095,upper_half,wide,5.224360181687896,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,drop,5.9007949837644125,-3.2303213525920915
67,2020-04-30 20:00:00,8881.0,-6.100655529710297,upper_half,normal,4.341564620666242,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,drop,-0.41661975002814655,-3.3273280036032027
68,2020-05-01 05:30:00,8834.0,-0.5292196824681961,above_upper,tight,1.978487277697501,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,rise,2.5639574371745466,-1.9809825673534065
69,2020-05-01 18:30:00,8780.5,-3.0903371778599364,upper_half,tight,1.5866197831496942,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,1.247081601275557,-1.2641649108820707
